Rank,Peak,Elevation
1,Mt. Elbert,14440
2,Mt. Massive,14421
3,Mt. Harvard,14421
4,Blanca peak,14345
5,La Plata Peak,14336
6,Uncompahgre Peak,14321
7,Crestone Peak,14294
8,Mt. Lincoln,14293
9,Castle Peak,14279
10,Grays peak,14278
11,Mt. Antero,14276
12,Torreys Peak,14275
13,Quandary Peak,14271
14,Mt. Evans,14265
15,Long Peak,14259
16,Mt. Wilson,14246
17,Mt. Cameron,14238
18,Mt. Shavano,14231
19,Mt. Princeton,14204
20,Mt. Belford,14203
21,Mt. Yale,14200
22,Crestone Needle,14197
23,Mt. Bross,14172
24,Kit Carson Peak,14165
25,Maroon Peak,14163
26,Tabeguache Peak,14162
27,Mt. Oxford,14160
28,El Diente Peak,14159
29,Mt. Democrat,14155
30,Mt. Sneffels,14150
31,Capitol Peak,14130
32,Pikes Peak,14115
33,Snowmass Mtn.,14099
34,Mt. Eolus,14083
35,Windom Peak,14082
36,Challenger Point,14081
37,Mt. Columbia,14077
38,Missouri Mountain,14074
39,Humbodlt peak,14064
40,Mt. Bierstadt,14060
41,Conundrum Peak,14060
42,Sunlight Peak,14059
43,Handies Peak,14058
44,Culebra Peak,14047
45,Ellingwood Point,14042
46,Mt. Lindsey,14042
47,North Eolus,14039
48,Little Bear Peak,14037
49,Mt. Sherman,14036
50,Redcloud Peak,14034
51,Pyramid Peak,14025
52,North Maroon Peak,14019
53,Wilson Peak,14017
54,Wetterhorn Peak,14015
55,San Luis Peak,14014
56,Huron peak,14010
57,Mt. of the Holy Cross,14009
58,Sunshine Peak,14001
